aX,aY,aZ,gX,gY,gZ
0.284,-0.001,0.806,-92.834,-447.021,-163.391
0.365,-0.095,0.923,-90.637,-412.415,-161.316
0.452,-0.178,1.021,-87.952,-369.751,-154.480
0.548,-0.256,1.092,-78.369,-320.129,-141.968
0.631,-0.317,1.155,-75.073,-269.775,-134.705
0.661,-0.363,1.217,-82.031,-221.497,-139.282
0.671,-0.377,1.273,-95.154,-171.692,-153.381
0.561,-0.370,1.334,-114.380,-117.004,-143.188
0.659,-0.361,1.270,-108.887,-58.289,-37.109
0.622,-0.288,1.279,-106.628,-2.258,2.563
0.550,-0.182,1.284,-120.605,54.260,27.588
0.462,-0.079,1.239,-96.863,115.112,48.157
0.358,0.038,1.179,-87.341,177.917,61.157
0.255,0.129,1.066,-74.158,241.455,64.148
0.160,0.174,0.936,-61.401,303.406,56.946
0.012,0.172,0.771,-48.828,366.638,44.495
-0.170,0.155,0.576,-19.470,433.655,34.363
-0.351,0.147,0.365,24.597,504.395,29.419
-0.600,0.153,0.125,80.994,578.918,30.701
-0.913,0.178,-0.129,136.658,654.358,40.405
-1.244,0.218,-0.402,187.561,720.459,57.678
-1.580,0.263,-0.672,222.778,768.066,80.872
-1.897,0.313,-0.945,234.558,795.471,113.953
-2.179,0.413,-1.225,223.022,808.899,168.030
-2.516,0.479,-1.510,192.322,815.308,263.611
-2.512,0.762,-1.823,158.691,809.814,320.435
-2.614,1.055,-2.093,110.229,777.344,265.869
-2.586,1.334,-2.390,90.210,729.004,262.756
-2.434,1.601,-2.678,83.618,651.611,239.990
-2.350,1.808,-2.894,71.960,551.514,198.730
-2.107,1.970,-3.103,67.261,439.392,140.259
-1.937,2.048,-3.219,51.392,308.289,58.167
-1.825,2.009,-3.210,34.973,161.987,-30.457
-1.841,1.792,-3.026,21.179,9.399,-116.638
-1.795,1.478,-2.692,-0.732,-137.451,-191.345
-1.744,1.145,-2.290,-19.531,-268.616,-249.023
-1.753,0.822,-1.862,-30.823,-378.601,-288.086
-1.788,0.540,-1.488,-42.236,-472.229,-304.565
-1.768,0.347,-1.125,-62.256,-529.968,-292.297
-1.621,0.228,-0.858,-77.332,-553.345,-262.390
-1.419,0.170,-0.631,-90.149,-554.626,-225.525
-1.199,0.156,-0.468,-91.248,-540.588,-187.683
-0.997,0.180,-0.339,-86.548,-519.714,-152.283
-0.802,0.240,-0.247,-75.195,-491.516,-121.521
-0.536,0.333,-0.191,-59.082,-457.703,-98.022

-2.053,0.599,-0.829,52.490,749.573,65.796
-2.457,0.639,-1.120,82.581,788.879,69.153
-2.810,0.723,-1.403,87.341,816.833,81.726
-2.996,0.849,-1.673,84.656,824.341,95.642
-3.054,1.004,-1.974,91.492,812.073,106.812
-3.046,1.184,-2.251,100.586,777.100,110.107
-2.961,1.365,-2.569,110.168,718.628,98.511
-2.731,1.549,-2.896,108.154,630.310,73.853
-2.409,1.716,-3.166,88.379,515.198,35.095
-2.166,1.838,-3.297,69.275,370.056,-15.930
-2.021,1.847,-3.304,52.551,206.055,-79.041
-1.991,1.712,-3.139,29.236,32.349,-145.996
-1.969,1.452,-2.779,-2.197,-136.230,-209.106
